Job_Description,Class_Customercare
"Serve as business contact between the customer service operations group and all of the internal departments and external vendors to address and resolve processing exceptions and/or escalated customer service cases. Establish a strong relationship with each of the College Board departments listed above and external vendors, specifically the various customer service outsourced partners. Must fully understand all of the College Board Program(s) operations processes, particularly those impacting Customer Service. Must understand these operational activities from end to end to ensure all escalated cases are adequately addressed across all of the affected departments and vendors.Ability to effectively communicate, verbally and in written format case status, as well as complex Program policies to consumers, to include students, parents, High School Guidance Counselors and College/University Admissions Personnel.Ability to work within aggressive timelines and with extremely sensitive student cases.Ability to handle high volume case loads while ensuring that cases are researched and closed within established timelines.Ability to learn multiple customer service and operational system applications required to manage escalated customer service cases.",1
Handle transactions/inquiries and answer customer questions.Listen to the customers then lead them to the solution that best works for them.Offer products that the customer could utilize based on call subject.Create and update case management system with all interactions from users.Route inquiries to the right department .Promote web portal to all internal users.,1
"Handling inbound and outbound customer care calls with outstanding customer service satisfaction.Answering questions from customers and addressing concerns.Keeping records of customer interactions, process customer accounts, and file documents.",1
Conducting inbound and outbound customer service calls with customers.Creatively problem solve.Quickly assessing customer needs and providing sound solutions.Providing a high-level of customer service.Documenting details of all calls and customer interactions.,1
"Client Support Service Professionals handle incoming phone calls regarding various service inquiries on Morgan Stanley accounts.Calls will need to respond with a high degree of accuracy and efficiency, while consistently meeting key department performance metrics.Functional support areas include Morgan Stanley Cash Management products and services, Morgan Stanley Online (client website) and Mobile app, and general account or financial related inquiries.Successful applicants will be highly professional, career driven, and committed to World-Class Service.",1
"Responsible for providing high quality telephone customer service to customers. Resolving customer inquiries, providing customers with account information, resolving or referring billing disputes, correcting payment errors, reversing fee and finance charges as appropriate and per guidelines, account maintenance, researching customer problems that couldn't be resolved during initial contact. Will receive 3 weeks of training. Calls will be monitored and you will be coached based on those monitors. It is a professional environment. There are strict attendance policies.",1
"The candidates provide customer solutions by providing seamless delivery of service, and/or fulfillment requests by answering calls, text messages or emails in a contact center environment.Requires knowledge of multiple products and ability to deepen or retain relationships through service.Performs routine account-related transactions.Involves referring customers to the appropriate line of business for products not supported.Will be required to think through and solve problems and investigate/resolve a wide variety of issues and requests that include gathering additional information, setting expectations and working with other support organizations to fulfill the requestWill handle escalated issues by successfully navigating the organization to resolve customer requests.Routes, maintains and tracks outstanding servicing requests and provides thorough follow up.Accountable for the successful resolution of all customer requests. ",1
"We are guided by a common purpose to help make financial lives better by connecting clients and communities to the resource they need to be successful. Make a difference where it counts by joining our Consumer Client Services team at Bank of America.We’re looking for skilled people that will advise and advocate for our clients for their most important service needs.As part of the team, Client Service Representatives (CSR II) go beyond processing simple account transactions –you’ll listen to client needs and advise on products and services to support our clients through life events and moments that matter.Anticipate and resolve client concerns with the goal of exceeding each client’s expectations, no matter how large or small the request.CSR IIs work in an inbound client service contact center that requires sitting and taking calls for the entire shift, with structured breaks. Being there for our clients is our number one priority. In order to do that, we need our employees to adhere to schedules that ensure our clients have every opportunity to connect with a client service professional in their moments that matter.Handles more complex escalated customer calls in order to resolve in the most satisfactory manner for all parties concerned.Calls are non-routine and require deviation from standard screens, scripts and procedures. May respond to faxes and emails.",1
"Provides customer solutions by providing seamless delivery of service, and/or fulfillment requests by answering calls, text messages or emails in a contact center environment.Performs routine account-related transactions. Involves referring customers to the appropriate line of business for products not supported.May be required to solve problems and investigate/resolve a wide variety of issues and requests that include gathering additional information, setting expectations and working with other support organizations to fulfill the request.May handle escalated issues by successfully navigating the organization to resolve customer requests.Routes, maintains and tracks outstanding servicing requests and provides thorough follow up. Accountable for the successful resolution of all customer requests.",1
"Providing high quality customer service by responding to and researching and resolving customer inquiries related to dispute/fraud claims.Managing a large caseload by researching, investigating, and resolving disputed credit/debit card charges.",1
"Interacting with customers via correspondence and telephone to determine the source of the claim and correcting errors.Customer claims are governed by Regulation E and/or Regulation Z requiring provisional credits, fees, interest and cardholder communications be completed within required timeframes. This position is multi-faceted and requires a high level of accuracy and attention to detail.",1
"Calling employers verifying employment.Verbal verifications of employment.Mortgage knowledge preferred.May help with imaging- W-2 and paystubs into system.Orders appraisals through the system and processes verifications of employment. Sorts and files correspondence, loan documents and other records in alphabetic or numerical order or according to a specific loan. Processes paperwork by verifying data and transferring into a standard format. Posts to and extracts data from records and files. May input data of new or existing loan information and process documents. May perform other clerical duties. Must have excellent communication and PC skills. Excel knowledge required. Desired background: mortgage experience and good PC skills.",1
"First point of contact for our customers so we need to make sure their experience is a good one through phone interaction.Need to understand our products and how to perform transactions, own customer concern to solve problems, investigate issues, and work with other departments to fulfill requests. Basically, create and maintain the relationships that keep our customers loyal and happy.Team environment with a shared commitment not only to our customer but to each other. Fast paced with high call volume environment.",1
